Division,Group,Field,Description
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451120,Ngā iwi Māori me te ture (Māori peoples and the law)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451121,Ngā tirohanga Māori (Māori perspectives)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451122,Te whai wāhi me te whakakanohi taha tōrāngapū o te Māori (Māori political participation and representation)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451123,Ngā mahi tōrangapū Māori (Māori politics)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451124,Ngā ture rawa Māori (Māori resource law)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451125,Te pāpātanga pāpori me te aromātai hōtaka o te Māori (Māori social impact and program evaluation)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451126,Ngā mahi tauwhiro me te tika pāpori o te Māori (Māori social work and social justice)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451127,Ngā mātai tikanga ā-iwi o te Māori (Māori sociological studies)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451128,Te mātauranga pāpori o te Māori (Māori sociology)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451129,Te mahi tāpoi Māori (Māori tourism)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451130,Te Tiriti o Waitangi (The Treaty of Waitangi)
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451131,"Te whakamahere ā-tāone, ā-rohe o te Māori (Māori urban and regional planning)"
Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",451199,"Ngā tāngata, te porihanga me ngā hapori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori peoples, society and community not elsewhere classified)"
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451201,Te mātai arorangi me te mātai tuarangi o te Māori (Māori astronomy and cosmology)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451202,Ngā pūtaiao koiora o te Māori (Māori biological sciences)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451203,Te whakamahi me te hoahoa o te hangarau rorohiko o te Māori (Māori computing technology use and design)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451204,Te mana motuhake o ngā raraunga Māori (Māori data sovereignty)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451205,Te mātauranga pūkaha o te Māori (Māori engineering)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451206,Te mātai huingaira o te Māori (Māori genomics)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451207,Ngā pūnaha whakahaere mōhiohio me te mātauranga o te Māori (Māori information and knowledge management systems)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451208,Te wairua auaha o te Māori (Māori innovation)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451209,Ngā tikanga whakahaere mōhiotanga Māori (Māori knowledge management methods)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451210,"Ngā pūtaiao pāngarau, ōkiko, matū hoki - hāunga te mātai arorangi me te mātai tuarangi o te Māori (Māori mathematical, physical and chemical sciences - excl. astronomy and cosmology)"
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451211,Te tukatuka reo noa o te Māori (Māori natural language processing)
Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),451299,Ngā pūtaiao Māori kāore anō kia whakarōpūhia i wāhi kē (Māori sciences not elsewhere classified)
Indigenous Studies,"Pacific Peoples culture, language and history",451301,Archaeology of New Guinea and Pacific Islands (excl. New Zealand)
Indigenous Studies,"Pacific Peoples culture, language and history",451302,Conservation of Pacific Peoples heritage
Indigenous Studies,"Pacific Peoples culture, language and history",451303,Pacific Peoples artefacts
Indigenous Studies,"Pacific Peoples culture, language and history",451304,Pacific Peoples cultural history
Indigenous Studies,"Pacific Peoples culture, language and history",451305,Pacific Peoples culture
Indigenous Studies,"Pacific Peoples culture, language and history",451306,"Pacific Peoples curatorial, archives and museum studies"
Indigenous Studies,"Pacific Peoples culture, language and history",451307,Pacific Peoples ethics
Indigenous Studies,"Pacific Peoples culture, language and history",451308,Pacific Peoples history
Indigenous Studies,"Pacific Peoples culture, language and history",451309,"Pacific Peoples land, culture and identity"
Indigenous Studies,"Pacific Peoples culture, language and history",451310,Pacific Peoples linguistics and languages
Indigenous Studies,"Pacific Peoples culture, language and history",451311,"Pacific Peoples literature, journalism and professional writing"
Indigenous Studies,"Pacific Peoples culture, language and history",451312,"Pacific Peoples media, film, animation and photography"
Indigenous Studies,"Pacific Peoples culture, language and history",451313,Pacific Peoples music and performing arts
Indigenous Studies,"Pacific Peoples culture, language and history",451314,Pacific Peoples philosophy
Indigenous Studies,"Pacific Peoples culture, language and history",451315,Pacific Peoples religion and religious studies
Indigenous Studies,"Pacific Peoples culture, language and history",451316,Pacific Peoples repatriation
Indigenous Studies,"Pacific Peoples culture, language and history",451317,Pacific Peoples research methods
Indigenous Studies,"Pacific Peoples culture, language and history",451318,Pacific Peoples visual arts and crafts
Indigenous Studies,"Pacific Peoples culture, language and history",451319,"Pacific Peoples ways of knowing, being and doing"
Indigenous Studies,"Pacific Peoples culture, language and history",451399,"Pacific Peoples culture, language and history not elsewhere classified"
Indigenous Studies,Pacific Peoples education,451401,Cultural responsiveness and working with Pacific Peoples communities education
Indigenous Studies,Pacific Peoples education,451402,"Embedding Pacific Peoples knowledges, histories, culture, country, perspectives and ethics in education"
Indigenous Studies,Pacific Peoples education,451403,Pacific Peoples curriculum and pedagogy
Indigenous Studies,Pacific Peoples education,451404,Pacific Peoples early childhood education
Indigenous Studies,Pacific Peoples education,451405,Pacific Peoples educational methods
Indigenous Studies,Pacific Peoples education,451406,"Pacific Peoples technical, further, continuing and community education"
Indigenous Studies,Pacific Peoples education,451407,Pacific Peoples higher education
Indigenous Studies,Pacific Peoples education,451408,Pacific Peoples language education
Indigenous Studies,Pacific Peoples education,451409,Pacific Peoples men’s education
Indigenous Studies,Pacific Peoples education,451410,Pacific Peoples primary education
Indigenous Studies,Pacific Peoples education,451411,Pacific Peoples secondary education
Indigenous Studies,Pacific Peoples education,451412,Pacific Peoples student engagement and teaching
Indigenous Studies,Pacific Peoples education,451413,Pacific Peoples women’s education
Indigenous Studies,Pacific Peoples education,451499,Pacific Peoples education not elsewhere classified
Indigenous Studies,Pacific Peoples environmental knowledges,451501,Pacific Peoples agriculture and forestry
Indigenous Studies,Pacific Peoples environmental knowledges,451502,Pacific Peoples earth sciences
Indigenous Studies,Pacific Peoples environmental knowledges,451503,Pacific Peoples environmental conservation
Indigenous Studies,Pacific Peoples environmental knowledges,451504,Pacific Peoples environmental knowledges
Indigenous Studies,Pacific Peoples environmental knowledges,451505,Pacific Peoples fisheries and customary fisheries
Indigenous Studies,Pacific Peoples environmental knowledges,451506,Pacific Peoples land and water management
Indigenous Studies,Pacific Peoples environmental knowledges,451507,Pacific Peoples marine environment science
Indigenous Studies,Pacific Peoples environmental knowledges,451599,Pacific Peoples environmental knowledges not elsewhere classified
Indigenous Studies,Pacific Peoples health and wellbeing,451601,Pacific Peoples and disability
Indigenous Studies,Pacific Peoples health and wellbeing,451602,Pacific Peoples biomedical and clinical science
Indigenous Studies,Pacific Peoples health and wellbeing,451603,Pacific Peoples cultural determinants of health
Indigenous Studies,Pacific Peoples health and wellbeing,451604,Pacific Peoples diet and nutrition
Indigenous Studies,Pacific Peoples health and wellbeing,451605,Pacific Peoples epidemiology
Indigenous Studies,Pacific Peoples health and wellbeing,451606,Pacific Peoples health policy
Indigenous Studies,Pacific Peoples health and wellbeing,451607,Pacific Peoples health promotion
Indigenous Studies,Pacific Peoples health and wellbeing,451608,Pacific Peoples life course
Indigenous Studies,Pacific Peoples health and wellbeing,451609,Pacific Peoples medicine and treatments
Indigenous Studies,Pacific Peoples health and wellbeing,451610,Pacific Peoples midwifery and paediatrics
